Symbol,InstrumentToken,TradingSymbol,Token,Insert_Token
APTUS,12824,APTUS-EQ,5435,NSE|5435
ASAHIINDIA,215,ASAHIINDIA-EQ,5378,NSE|5378
ASHOKLEY,790,ASHOKLEY-EQ,212,NSE|212
ASIANPAINT,797,ASIANPAINT-EQ,236,NSE|236
ASTERDM,72378,ASTERDM-EQ,1508,NSE|1508
ASTRAL,8688,ASTRAL-EQ,14418,NSE|14418
ASTRAZEN,804,ASTRAZEN-EQ,5610,NSE|5610
ATGL,113066,ATGL-EQ,6066,NSE|6066
ATUL,813,ATUL-EQ,263,NSE|263
AUBANK,99043,AUBANK-EQ,21238,NSE|21238
AUROPHARMA,815,AUROPHARMA-EQ,275,NSE|275
AXISBANK,2302,AXISBANK-EQ,5900,NSE|5900
BAJAJ-AUTO,9336,BAJAJ-AUTO-EQ,16669,NSE|16669
BAJAJELEC,4323,BAJAJELEC-EQ,15034,NSE|15034
BAJAJFINSV,9339,BAJAJFINSV-EQ,16675,NSE|16675
BAJAJHLDNG,828,BAJAJHLDNG-EQ,305,NSE|305
BAJFINANCE,832,BAJFINANCE-EQ,317,NSE|317
BALAMINES,5952,BALAMINES-EQ,14501,NSE|14501
BALKRISIND,840,BALKRISIND-EQ,335,NSE|335
BALRAMCHIN,843,BALRAMCHIN-EQ,341,NSE|341
BANDHANBNK,41509,BANDHANBNK-EQ,2263,NSE|2263
BANKBARODA,847,BANKBARODA-EQ,4668,NSE|4668
BANKINDIA,850,BANKINDIA-EQ,4745,NSE|4745
BASF,438,BASF-EQ,368,NSE|368
BATAINDIA,858,BATAINDIA-EQ,371,NSE|371
BAYERCROP,862,BAYERCROP-EQ,17927,NSE|17927
BBTC,866,BBTC-EQ,380,NSE|380
BCG,66988,BCG-EQ,8833,NSE|8833
BDL,29632,BDL-EQ,2144,NSE|2144
BEL,440,BEL-EQ,383,NSE|383
BERGEPAINT,870,BERGEPAINT-EQ,404,NSE|404
BHARATFORG,876,BHARATFORG-EQ,422,NSE|422
BHARTIARTL,3877,BHARTIARTL-EQ,10604,NSE|10604
BHEL,878,BHEL-EQ,438,NSE|438
BIOCON,4028,BIOCON-EQ,11373,NSE|11373
BIRLACORPN,279,BIRLACORPN-EQ,480,NSE|480
BLUEDART,897,BLUEDART-EQ,495,NSE|495
BLUESTARCO,2693,BLUESTARCO-EQ,8311,NSE|8311
BORORENEW,24483,BORORENEW-EQ,3149,NSE|3149
BOSCHLTD,1591,BOSCHLTD-EQ,2181,NSE|2181
BPCL,907,BPCL-EQ,526,NSE|526
BRIGADE,9164,BRIGADE-EQ,15184,NSE|15184
BRITANNIA,919,BRITANNIA-EQ,5066,NSE|5066
BSE,73260,BSE-EQ,19585,NSE|19585
BSOFT,3101,BSOFT-EQ,6994,NSE|6994
CAMS,799,CAMS-EQ,342,NSE|342
CANBK,3910,CANBK-EQ,10794,NSE|10794
CANFINHOME,932,CANFINHOME-EQ,583,NSE|583
CARBORUNIV,455,CARBORUNIV-EQ,595,NSE|595
CASTROLIND,941,CASTROLIND-EQ,1250,NSE|1250
CCL,4061,CCL-EQ,11452,NSE|11452
CDSL,6829,CDSL-EQ,21174,NSE|21174
CEATLTD,947,CEATLTD-EQ,15254,NSE|15254
CENTRALBK,8922,CENTRALBK-EQ,14894,NSE|14894
CENTURYPLY,6656,CENTURYPLY-EQ,13305,NSE|13305
CENTURYTEX,953,CENTURYTEX-EQ,625,NSE|625
CERA,6611,CERA-EQ,15039,NSE|15039
CESC,955,CESC-EQ,628,NSE|628
CGCL,7120,CGCL-EQ,20329,NSE|20329
CGPOWER,1015,CGPOWER-EQ,760,NSE|760
CHALET,12198,CHALET-EQ,8546,NSE|8546
CHAMBLFERT,960,CHAMBLFERT-EQ,637,NSE|637
CHEMPLASTS,962,CHEMPLASTS-EQ,5449,NSE|5449
CHOLAFIN,972,CHOLAFIN-EQ,685,NSE|685
CHOLAHLDNG,674,CHOLAHLDNG-EQ,21740,NSE|21740
CIPLA,979,CIPLA-EQ,694,NSE|694
CLEAN,26263,CLEAN-EQ,5049,NSE|5049
COALINDIA,10512,COALINDIA-EQ,20374,NSE|20374
COCHINSHIP,14504,COCHINSHIP-EQ,21508,NSE|21508
COFORGE,4109,COFORGE-EQ,11543,NSE|11543
COLPAL,993,COLPAL-EQ,15141,NSE|15141
CONCOR,159,CONCOR-EQ,4749,NSE|4749
COROMANDEL,1002,COROMANDEL-EQ,739,NSE|739
CREDITACC,11782,CREDITACC-EQ,4421,NSE|4421
CRISIL,1012,CRISIL-EQ,757,NSE|757
CROMPTON,12881,CROMPTON-EQ,17094,NSE|17094
CSBBANK,11838,CSBBANK-EQ,14966,NSE|14966
CUB,2240,CUB-EQ,5701,NSE|5701
CUMMINSIND,1495,CUMMINSIND-EQ,1901,NSE|1901
CYIENT,2251,CYIENT-EQ,5748,NSE|5748
DABUR,1019,DABUR-EQ,772,NSE|772
DALBHARAT,85758,DALBHARAT-EQ,8075,NSE|8075
DBL,12067,DBL-EQ,18086,NSE|18086
DCMSHRIRAM,1030,DCMSHRIRAM-EQ,811,NSE|811
DEEPAKNTR,1038,DEEPAKNTR-EQ,19943,NSE|19943
DELTACORP,8781,DELTACORP-EQ,15044,NSE|15044
DEVYANI,31169,DEVYANI-EQ,5373,NSE|5373
DHANI,9295,DHANI-EQ,15384,NSE|15384
DIVISLAB,3924,DIVISLAB-EQ,10940,NSE|10940
DIXON,14976,DIXON-EQ,21690,NSE|21690
DLF,8848,DLF-EQ,14732,NSE|14732
DMART,24886,DMART-EQ,19913,NSE|19913
DRREDDY,1055,DRREDDY-EQ,881,NSE|881
EASEMYTRIP,19354,EASEMYTRIP-EQ,2792,NSE|2792
ECLERX,9160,ECLERX-EQ,15179,NSE|15179
EDELWEISS,9124,EDELWEISS-EQ,15119,NSE|15119
EICHERMOT,1067,EICHERMOT-EQ,910,NSE|910
EIDPARRY,1070,EIDPARRY-EQ,916,NSE|916
EIHOTEL,1073,EIHOTEL-EQ,919,NSE|919
ELGIEQUIP,1081,ELGIEQUIP-EQ,937,NSE|937
EMAMILTD,6011,EMAMILTD-EQ,13517,NSE|13517
ENDURANCE,13209,ENDURANCE-EQ,18822,NSE|18822
ENGINERSIN,66,ENGINERSIN-EQ,4907,NSE|4907
EPL,1111,EPL-EQ,981,NSE|981
EQUITAS,11742,EQUITAS-EQ,16852,NSE|16852
EQUITASBNK,78669,EQUITASBNK-EQ,913,NSE|913
ERIS,11788,ERIS-EQ,21154,NSE|21154
ESCORTS,1099,ESCORTS-EQ,958,NSE|958
EXIDEIND,968,EXIDEIND-EQ,676,NSE|676
FACT,163,FACT-EQ,1008,NSE|1008
FDC,1123,FDC-EQ,4898,NSE|4898
FEDERALBNK,1127,FEDERALBNK-EQ,1023,NSE|1023
FINCABLES,1131,FINCABLES-EQ,1038,NSE|1038
FINEORG,84722,FINEORG-EQ,3744,NSE|3744
FINPIPE,1134,FINPIPE-EQ,1041,NSE|1041
FLUOROCHEM,13726,FLUOROCHEM-EQ,13750,NSE|13750
FORTIS,8750,FORTIS-EQ,14592,NSE|14592
FSL,8579,FSL-EQ,14304,NSE|14304
GAEL,3407,GAEL-EQ,8828,NSE|8828
GAIL,1150,GAIL-EQ,4717,NSE|4717
GALAXYSURF,11950,GALAXYSURF-EQ,1315,NSE|1315
GARFIBRES,483,GARFIBRES-EQ,1100,NSE|1100
GESHIP,1171,GESHIP-EQ,13776,NSE|13776
GICRE,1907,GICRE-EQ,277,NSE|277
GLAND,13099,GLAND-EQ,1186,NSE|1186
GLAXO,1183,GLAXO-EQ,1153,NSE|1153
GLENMARK,3051,GLENMARK-EQ,7406,NSE|7406
GLS,16684,GLS-EQ,5265,NSE|5265
GMRINFRA,8185,GMRINFRA-EQ,13528,NSE|13528
GNFC,1200,GNFC-EQ,1174,NSE|1174
GOCOLORS,7909,GOCOLORS-EQ,6964,NSE|6964
GODFRYPHLP,492,GODFRYPHLP-EQ,1181,NSE|1181
GODREJAGRO,14548,GODREJAGRO-EQ,144,NSE|144
GODREJCP,3824,GODREJCP-EQ,10099,NSE|10099
GODREJIND,3918,GODREJIND-EQ,10925,NSE|10925
GODREJPROP,10058,GODREJPROP-EQ,17875,NSE|17875
GPPL,10405,GPPL-EQ,19731,NSE|19731
GRANULES,6632,GRANULES-EQ,11872,NSE|11872
GRAPHITE,936,GRAPHITE-EQ,592,NSE|592
GRASIM,1212,GRASIM-EQ,1232,NSE|1232
GRINDWELL,1217,GRINDWELL-EQ,13560,NSE|13560
GRINFRA,37526,GRINFRA-EQ,5054,NSE|5054
GSFC,1220,GSFC-EQ,1247,NSE|1247
GSPL,7770,GSPL-EQ,13197,NSE|13197
GUJALKALI,1227,GUJALKALI-EQ,1267,NSE|1267
GUJGASLTD,12646,GUJGASLTD-EQ,10599,NSE|10599
HAL,6821,HAL-EQ,2303,NSE|2303
HAPPSTMNDS,21294,HAPPSTMNDS-EQ,48,NSE|48
HATHWAY,10176,HATHWAY-EQ,18154,NSE|18154
HATSUN,214855,HATSUN-EQ,3892,NSE|3892
HAVELLS,3764,HAVELLS-EQ,9819,NSE|9819
HCLTECH,3061,HCLTECH-EQ,7229,NSE|7229
HDFC,1247,HDFC-EQ,22326,NSE|22326
HDFCAMC,95757,HDFCAMC-EQ,4244,NSE|4244
HDFCBANK,1250,HDFCBANK-EQ,1333,NSE|1333
HDFCLIFE,36027,HDFCLIFE-EQ,467,NSE|467
HEG,1252,HEG-EQ,1336,NSE|1336
HEMIPROP,17904,HEMIPROP-EQ,701,NSE|701
HEROMOTOCO,1260,HEROMOTOCO-EQ,1348,NSE|1348
HFCL,1262,HFCL-EQ,21951,NSE|21951
HGS,8828,HGS-EQ,14712,NSE|14712
HIKAL,3715,HIKAL-EQ,9668,NSE|9668
HINDALCO,1271,HINDALCO-EQ,1363,NSE|1363
HINDCOPPER,4929,HINDCOPPER-EQ,17939,NSE|17939
HINDPETRO,1290,HINDPETRO-EQ,1406,NSE|1406
HINDUNILVR,1283,HINDUNILVR-EQ,1394,NSE|1394
HINDZINC,1296,HINDZINC-EQ,1424,NSE|1424
HLEGLAS,22451,HLEGLAS-EQ,2289,NSE|2289
HOMEFIRST,11803,HOMEFIRST-EQ,2056,NSE|2056
HONAUT,2051,HONAUT-EQ,3417,NSE|3417
HUDCO,22010,HUDCO-EQ,19970,NSE|19970
IBREALEST,8699,IBREALEST-EQ,14450,NSE|14450
IBULHSGFIN,54453,IBULHSGFIN-EQ,9277,NSE|9277
ICICIBANK,1324,ICICIBANK-EQ,4963,NSE|4963
ICICIGI,11783,ICICIGI-EQ,21770,NSE|21770
ICICIPRULI,11744,ICICIPRULI-EQ,18652,NSE|18652
ICIL,1358,ICIL-EQ,11987,NSE|11987
IDBI,1327,IDBI-EQ,1476,NSE|1476
IDEA,8658,IDEA-EQ,14366,NSE|14366
IDFC,7373,IDFC-EQ,11957,NSE|11957
IDFCFIRSTB,50056,IDFCFIRSTB-EQ,11184,NSE|11184
IEX,17483,IEX-EQ,220,NSE|220
IFBIND,1331,IFBIND-EQ,1485,NSE|1485
IGL,3985,IGL-EQ,11262,NSE|11262
IIFL,4313,IIFL-EQ,6207,NSE|6207
IIFLWAM,18997,IIFLWAM-EQ,13061,NSE|13061
INDHOTEL,1343,INDHOTEL-EQ,1512,NSE|1512
INDIACEM,1345,INDIACEM-EQ,1515,NSE|1515
INDIAMART,12436,INDIAMART-EQ,10726,NSE|10726
INDIANB,8599,INDIANB-EQ,14309,NSE|14309
INDIGO,2371,INDIGO-EQ,11195,NSE|11195
INDIGOPNTS,14723,INDIGOPNTS-EQ,2048,NSE|2048
INDOCO,4232,INDOCO-EQ,11677,NSE|11677
INDUSINDBK,1372,INDUSINDBK-EQ,5258,NSE|5258
INDUSTOWER,11573,INDUSTOWER-EQ,29135,NSE|29135
INFIBEAM,53639,INFIBEAM-EQ,16249,NSE|16249
INFY,1375,INFY-EQ,1594,NSE|1594
INOXLEISUR,7837,INOXLEISUR-EQ,13221,NSE|13221
INTELLECT,24988,INTELLECT-EQ,5926,NSE|5926
IOB,3610,IOB-EQ,9348,NSE|9348
IOC,1387,IOC-EQ,1624,NSE|1624
IPCALAB,1393,IPCALAB-EQ,1633,NSE|1633
IRB,9256,IRB-EQ,15313,NSE|15313
IRCON,1063,IRCON-EQ,4986,NSE|4986
IRCTC,2182,IRCTC-EQ,13611,NSE|13611
IRFC,14144,IRFC-EQ,15168,NSE|15168
ISEC,11903,ISEC-EQ,2489,NSE|2489
ITC,1407,ITC-EQ,1660,NSE|1660
ITI,1413,ITI-EQ,1675,NSE|1675
JAMNAAUTO,527,JAMNAAUTO-EQ,20778,NSE|20778
JBCHEPHARM,1429,JBCHEPHARM-EQ,1726,NSE|1726
JINDALSTEL,3087,JINDALSTEL-EQ,6733,NSE|6733
JKCEMENT,6840,JKCEMENT-EQ,13270,NSE|13270
JKLAKSHMI,1445,JKLAKSHMI-EQ,13491,NSE|13491
JKPAPER,6510,JKPAPER-EQ,11860,NSE|11860
JMFINANCIL,543,JMFINANCIL-EQ,13637,NSE|13637
JSL,3960,JSL-EQ,11236,NSE|11236
JSWENERGY,10048,JSWENERGY-EQ,17869,NSE|17869
JSWSTEEL,4267,JSWSTEEL-EQ,11723,NSE|11723
JUBLFOOD,10115,JUBLFOOD-EQ,18096,NSE|18096
JUBLINGREA,19165,JUBLINGREA-EQ,2783,NSE|2783
JUBLPHARMA,2146,JUBLPHARMA-EQ,3637,NSE|3637
JUSTDIAL,11670,JUSTDIAL-EQ,29962,NSE|29962
JYOTHYLAB,9147,JYOTHYLAB-EQ,15146,NSE|15146
KAJARIACER,545,KAJARIACER-EQ,1808,NSE|1808
KALPATPOWR,1463,KALPATPOWR-EQ,1814,NSE|1814
KALYANKJIL,40648,KALYANKJIL-EQ,2955,NSE|2955
KANSAINER,1204,KANSAINER-EQ,1196,NSE|1196
KARURVYSYA,1470,KARURVYSYA-EQ,1838,NSE|1838
KEC,7871,KEC-EQ,13260,NSE|13260
KEI,5108,KEI-EQ,13310,NSE|13310
KIMS,13675,KIMS-EQ,4847,NSE|4847
KNRCON,9239,KNRCON-EQ,15283,NSE|15283
KOTAKBANK,1504,KOTAKBANK-EQ,1922,NSE|1922
KPITTECH,13108,KPITTECH-EQ,9683,NSE|9683
KPRMILL,8933,KPRMILL-EQ,14912,NSE|14912
KRBL,3869,KRBL-EQ,10577,NSE|10577
L&TFH,10829,L&TFH-EQ,24948,NSE|24948
LALPATHLAB,11770,LALPATHLAB-EQ,11654,NSE|11654
LATENTVIEW,12185,LATENTVIEW-EQ,6818,NSE|6818
LAURUSLABS,16425,LAURUSLABS-EQ,19234,NSE|19234
LAXMIMACH,1529,LAXMIMACH-EQ,1979,NSE|1979
LICHSGFIN,1538,LICHSGFIN-EQ,1997,NSE|1997
LINDEINDIA,1389,LINDEINDIA-EQ,1627,NSE|1627
LODHA,43291,LODHA-EQ,3220,NSE|3220
LT,4075,LT-EQ,11483,NSE|11483
LTI,17555,LTI-EQ,17818,NSE|17818
LTTS,24509,LTTS-EQ,18564,NSE|18564
LUPIN,3850,LUPIN-EQ,10440,NSE|10440
LUXIND,54391,LUXIND-EQ,11301,NSE|11301
LXCHEM,14546,LXCHEM-EQ,2841,NSE|2841
M&M,1550,M&M-EQ,2031,NSE|2031
M&MFIN,7888,M&MFIN-EQ,20050,NSE|20050
MAHABANK,4030,MAHABANK-EQ,11377,NSE|11377
MAHINDCIE,8221,MAHINDCIE-EQ,14937,NSE|14937
MAHLOG,20190,MAHLOG-EQ,385,NSE|385
MANAPPURAM,6035,MANAPPURAM-EQ,19061,NSE|19061
MAPMYINDIA,14617,MAPMYINDIA-EQ,7227,NSE|7227
MARICO,1577,MARICO-EQ,4067,NSE|4067
MARUTI,3936,MARUTI-EQ,10999,NSE|10999
MASTEK,1579,MASTEK-EQ,2124,NSE|2124
MAXHEALTH,12046,MAXHEALTH-EQ,22377,NSE|22377
MAZDOCK,14294,MAZDOCK-EQ,509,NSE|509
MCDOWELL-N,3853,MCDOWELL-N-EQ,10447,NSE|10447
MCX,11163,MCX-EQ,31181,NSE|31181
MEDPLUS,12915,MEDPLUS-EQ,7254,NSE|7254
METROBRAND,12393,METROBRAND-EQ,7242,NSE|7242
METROPOLIS,15881,METROPOLIS-EQ,9581,NSE|9581
MFSL,1585,MFSL-EQ,2142,NSE|2142
MGL,17141,MGL-EQ,17534,NSE|17534
MHRIL,9866,MHRIL-EQ,17333,NSE|17333
MINDAIND,6654,MINDAIND-EQ,14154,NSE|14154
MINDTREE,8647,MINDTREE-EQ,14356,NSE|14356
MMTC,4894,MMTC-EQ,17957,NSE|17957
MOIL,10573,MOIL-EQ,20830,NSE|20830
MOTILALOFS,8985,MOTILALOFS-EQ,14947,NSE|14947
MPHASIS,874,MPHASIS-EQ,4503,NSE|4503
MRF,583,MRF-EQ,2277,NSE|2277
MRPL,1622,MRPL-EQ,2283,NSE|2283
MTARTECH,19161,MTARTECH-EQ,2709,NSE|2709
MUTHOOTFIN,10722,MUTHOOTFIN-EQ,23650,NSE|23650
NAM-INDIA,16547,NAM-INDIA-EQ,357,NSE|357
NATCOPHARM,1657,NATCOPHARM-EQ,3918,NSE|3918
NATIONALUM,2420,NATIONALUM-EQ,6364,NSE|6364
NAUKRI,8319,NAUKRI-EQ,13751,NSE|13751
NAVINFLUOR,6644,NAVINFLUOR-EQ,14672,NSE|14672
NAZARA,14130,NAZARA-EQ,2987,NSE|2987
NBCC,11219,NBCC-EQ,31415,NSE|31415
NCC,1636,NCC-EQ,2319,NSE|2319
NESCO,4462,NESCO-EQ,15409,NSE|15409
NESTLEIND,1672,NESTLEIND-EQ,17963,NSE|17963
NETWORK18,8529,NETWORK18-EQ,14111,NSE|14111
NH,15057,NH-EQ,11840,NSE|11840
NHPC,9924,NHPC-EQ,31487,NSE|31487
NIACL,12656,NIACL-EQ,399,NSE|399
NLCINDIA,3285,NLCINDIA-EQ,8585,NSE|8585
NMDC,5543,NMDC-EQ,15332,NSE|15332
NOCIL,1692,NOCIL-EQ,2442,NSE|2442
NTPC,4199,NTPC-EQ,10751,NSE|10751
NUVOCO,37815,NUVOCO-EQ,5426,NSE|5426
NYKAA,12983,NYKAA-EQ,6545,NSE|6545
OBEROIRLTY,10491,OBEROIRLTY-EQ,20242,NSE|20242
OFSS,3894,OFSS-EQ,10738,NSE|10738
OIL,9947,OIL-EQ,17438,NSE|17438
ONGC,1703,ONGC-EQ,2475,NSE|2475
ORIENTELEC,12029,ORIENTELEC-EQ,2972,NSE|2972
PAGEIND,8680,PAGEIND-EQ,14413,NSE|14413
PAYTM,13030,PAYTM-EQ,6705,NSE|6705
PCBL,1765,PCBL-EQ,2649,NSE|2649
PEL,1679,PEL-EQ,2412,NSE|2412
PERSISTENT,10234,PERSISTENT-EQ,18365,NSE|18365
PETRONET,4018,PETRONET-EQ,11351,NSE|11351
PFC,8584,PFC-EQ,20028,NSE|20028
PFIZER,1761,PFIZER-EQ,2643,NSE|2643
PGHH,1729,PGHH-EQ,2535,NSE|2535
PGHL,1091,PGHL-EQ,940,NSE|940
PHOENIXLTD,6858,PHOENIXLTD-EQ,14552,NSE|14552
PIDILITIND,1772,PIDILITIND-EQ,2664,NSE|2664
PIIND,20,PIIND-EQ,24184,NSE|24184
PNB,3886,PNB-EQ,10666,NSE|10666
PNBHOUSING,74064,PNBHOUSING-EQ,18908,NSE|18908
PNCINFRA,15183,PNCINFRA-EQ,9385,NSE|9385
POLICYBZR,7238,POLICYBZR-EQ,6656,NSE|6656
POLYCAB,16855,POLYCAB-EQ,9590,NSE|9590
POLYMED,6322,POLYMED-EQ,25718,NSE|25718
POLYPLEX,1774,POLYPLEX-EQ,2687,NSE|2687
POONAWALLA,4034,POONAWALLA-EQ,9982,NSE|9982
POWERGRID,9009,POWERGRID-EQ,14977,NSE|14977
POWERINDIA,102783,POWERINDIA-EQ,18457,NSE|18457
PRAJIND,376,PRAJIND-EQ,2705,NSE|2705
PRESTIGE,10504,PRESTIGE-EQ,20302,NSE|20302
PRINCEPIPE,73470,PRINCEPIPE-EQ,16045,NSE|16045
PRIVISCL,66986,PRIVISCL-EQ,8825,NSE|8825
PRSMJOHNSN,1786,PRSMJOHNSN-EQ,2739,NSE|2739
PVR,7711,PVR-EQ,13147,NSE|13147
QUESS,75519,QUESS-EQ,17704,NSE|17704
RADICO,3930,RADICO-EQ,10990,NSE|10990
RAILTEL,39301,RAILTEL-EQ,2431,NSE|2431
RAIN,1788,RAIN-EQ,15337,NSE|15337
RAJESHEXPO,2841,RAJESHEXPO-EQ,7401,NSE|7401
RALLIS,1809,RALLIS-EQ,2816,NSE|2816
RAMCOCEM,1552,RAMCOCEM-EQ,2043,NSE|2043
RATNAMANI,5181,RATNAMANI-EQ,13451,NSE|13451
RBA,22075,RBA-EQ,1494,NSE|1494
RBLBANK,64490,RBLBANK-EQ,18391,NSE|18391
RCF,1829,RCF-EQ,2866,NSE|2866
RECLTD,9281,RECLTD-EQ,19924,NSE|19924
REDINGTON,8566,REDINGTON-EQ,14255,NSE|14255
RELAXO,22,RELAXO-EQ,24225,NSE|24225
RELIANCE,1839,RELIANCE-EQ,2885,NSE|2885
RENUKA,7571,RENUKA-EQ,12026,NSE|12026
RHIM,11158,RHIM-EQ,31163,NSE|31163
RITES,84724,RITES-EQ,3761,NSE|3761
ROSSARI,15372,ROSSARI-EQ,19410,NSE|19410
ROUTE,23994,ROUTE-EQ,128,NSE|128
RTNINDIA,11310,RTNINDIA-EQ,27297,NSE|27297
RVNL,12343,RVNL-EQ,9552,NSE|9552
SAIL,2300,SAIL-EQ,2963,NSE|2963
SANOFI,1307,SANOFI-EQ,1442,NSE|1442
SAPPHIRE,15225,SAPPHIRE-EQ,6718,NSE|6718
SAREGAMA,349,SAREGAMA-EQ,4892,NSE|4892
SBICARD,62034,SBICARD-EQ,17971,NSE|17971
SBILIFE,95551,SBILIFE-EQ,21808,NSE|21808
SBIN,1900,SBIN-EQ,3045,NSE|3045
SCHAEFFLER,1120,SCHAEFFLER-EQ,1011,NSE|1011
SCI,632,SCI-EQ,3048,NSE|3048
SEQUENT,11741,SEQUENT-EQ,14296,NSE|14296
SFL,12520,SFL-EQ,19184,NSE|19184
SHILPAMED,5837,SHILPAMED-EQ,17752,NSE|17752
SHREECEM,1926,SHREECEM-EQ,3103,NSE|3103
SHRIRAMCIT,4277,SHRIRAMCIT-EQ,11739,NSE|11739
SHYAMMETL,20336,SHYAMMETL-EQ,4693,NSE|4693
SIEMENS,1948,SIEMENS-EQ,3150,NSE|3150
SIS,13117,SIS-EQ,21501,NSE|21501
SJVN,10283,SJVN-EQ,18883,NSE|18883
SKFINDIA,1957,SKFINDIA-EQ,3186,NSE|3186
SOBHA,8391,SOBHA-EQ,13826,NSE|13826
SOLARA,7994,SOLARA-EQ,3672,NSE|3672
SOLARINDS,7919,SOLARINDS-EQ,13332,NSE|13332
SONACOMS,20334,SONACOMS-EQ,4684,NSE|4684
SONATSOFTW,2508,SONATSOFTW-EQ,6596,NSE|6596
SPARC,8872,SPARC-EQ,14788,NSE|14788
SPICEJET,31181,SPICEJET-EQ,11446,NSE|11446
SRF,1987,SRF-EQ,3273,NSE|3273
SRTRANSFIN,1995,SRTRANSFIN-EQ,17179,NSE|17179
STAR,3205,STAR-EQ,7374,NSE|7374
STARHEALTH,12210,STARHEALTH-EQ,7083,NSE|7083
STLTECH,3592,STLTECH-EQ,9309,NSE|9309
SUDARSCHEM,2003,SUDARSCHEM-EQ,3327,NSE|3327
SUMICHEM,35325,SUMICHEM-EQ,17105,NSE|17105
SUNDARMFIN,2007,SUNDARMFIN-EQ,3339,NSE|3339
SUNDRMFAST,2012,SUNDRMFAST-EQ,3345,NSE|3345
SUNPHARMA,2017,SUNPHARMA-EQ,3351,NSE|3351
SUNTECK,4809,SUNTECK-EQ,17641,NSE|17641
SUNTV,7961,SUNTV-EQ,13404,NSE|13404
SUPRAJIT,4242,SUPRAJIT-EQ,11689,NSE|11689
SUPREMEIND,2025,SUPREMEIND-EQ,3363,NSE|3363
SUVENPHAR,20576,SUVENPHAR-EQ,17945,NSE|17945
SUZLON,7563,SUZLON-EQ,12018,NSE|12018
SWSOLAR,37074,SWSOLAR-EQ,12489,NSE|12489
SYMPHONY,8053,SYMPHONY-EQ,24190,NSE|24190
SYNGENE,73038,SYNGENE-EQ,10243,NSE|10243
TANLA,8433,TANLA-EQ,13976,NSE|13976
TATACHEM,2045,TATACHEM-EQ,3405,NSE|3405
TATACOFFEE,995,TATACOFFEE-EQ,724,NSE|724
TATACOMM,402,TATACOMM-EQ,3721,NSE|3721
TATACONSUM,2058,TATACONSUM-EQ,3432,NSE|3432
TATAELXSI,2047,TATAELXSI-EQ,3411,NSE|3411
TATAINVEST,254,TATAINVEST-EQ,1621,NSE|1621
TATAMOTORS,2071,TATAMOTORS-EQ,3456,NSE|3456
TATAMTRDVR,9998,TATAMTRDVR-EQ,16965,NSE|16965
TATAPOWER,2053,TATAPOWER-EQ,3426,NSE|3426
TATASTEEL,2094,TATASTEEL-EQ,3499,NSE|3499
TATASTLLP,1398,TATASTLLP-EQ,1639,NSE|1639
TCIEXP,14901,TCIEXP-EQ,19223,NSE|19223
TCNSBRANDS,92375,TCNSBRANDS-EQ,4172,NSE|4172
TCS,4106,TCS-EQ,11536,NSE|11536
TEAMLEASE,13902,TEAMLEASE-EQ,12716,NSE|12716
TECHM,8197,TECHM-EQ,13538,NSE|13538
THERMAX,2079,THERMAX-EQ,3475,NSE|3475
THYROCARE,66630,THYROCARE-EQ,17032,NSE|17032
TIINDIA,12675,TIINDIA-EQ,312,NSE|312
TIMKEN,2062,TIMKEN-EQ,14198,NSE|14198
TITAN,2096,TITAN-EQ,3506,NSE|3506
